"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*02opy*","Adam Lallana","BHA","M,F","242","FA","BHA 0<br/>@ARS 2 F","49.78","-","-","-","-","1","0","0","0","1","0","19","0","0","0"
"*038ze*","Alex Iwobi","EVE","M,F","297","FA","EVE 0<br/>@MCI 5 F","49.6","-","-","-","-","2","0","0","0","0","0","13","1","1","0"
"*04abb*","Phil Foden","MCI","M,F","103","NOAD","EVE 0<br/>@MCI 5 F","49.55","-","-","-","-","1","0","1","0","1","0","4","0","0","0"
"*04mcg*","Ben Johnson","WHU","D,M","373","FA","SOU 0<br/>@WHU 3 F","49.55","-","-","-","-","1","0","0","0","2","1","16","2","0","0"
"*04e1h*","Dale Stephens","BHA/BUR","M","417","FA","BUR 0<br/>@SHU 1 F","49.47","-","-","-","-","1","0","0","0","1","0","5","1","0","0"
"*055c0*","Ben Osborn","SHU","M,F","269","FA","BUR 0<br/>@SHU 1 F","49.44","-","-","-","-","2","0","0","0","0","0","12","1","1","0"
"*04yim*","Christian Pulisic","CHE","M,F","195","RED","CHE 1<br/>@AVL 2 F","49.34","-","-","-","-","2","0","0","0","0","0","17","0","2","0"
"*02ope*","Olivier Giroud","CHE","F","312","FA","CHE 1<br/>@AVL 2 F","49.15","-","-","-","-","1","0","0","0","1","0","15","0","0","0"
"*037sc*","Erik Lamela","TOT","M","404","FA","TOT 4<br/>@LEI 2 F","48.99","-","-","-","-","2","0","1","0","0","0","14","0","0","0"
"*02ln2*","Jonny Evans","LEI","D","77","BAR","TOT 4<br/>@LEI 2 F","48.92","-","-","-","-","1","0","0","0","0","0","27","0","0","0"
"*02lz9*","Alex Oxlade-Chamberlain","LIV","M,F","411","FA","CRY 0<br/>@LIV 2 F","48.92","-","-","-","-","1","0","0","0","0","0","15","1","0","0"
"*04abn*","Harvey Barnes","LEI","M,F","133","FA","TOT 4<br/>@LEI 2 F","48.85","-","-","-","-","1","0","0","1","0","0","5","0","0","0"
"*05os6*","Edinson Cavani","MUN","F","239","PNP","MUN 2<br/>@WOL 1 F","48.68","-","-","-","-","1","0","1","0","0","0","12","0","0","0"
"*05n01*","Ezgjan Alioski","LEE","D,M","125","FA","WBA 1<br/>@LEE 3 F","48.66","-","-","-","-","1","0","0","0","0","0","19","0","1","0"
"*02rll*","Nathan Redmond","SOU","M,F","226","FA","SOU 0<br/>@WHU 3 F","48.6","-","-","-","-","1","0","0","0","0","0","25","0","0","0"
"*05749*","Kieran Tierney","ARS","D,M","191","PNP","BHA 0<br/>@ARS 2 F","48.13","-","-","-","-","1","0","1","0","1","1","31","0","0","0"
"*02t1i*","Robert Snodgrass","WHU/WBA","M","412","FA","WBA 1<br/>@LEE 3 F","47.89","-","-","-","-","1","0","0","0","1","0","7","0","0","0"
"*0522s*","Che Adams","SOU","F","62","FA","SOU 0<br/>@WHU 3 F","47.81","-","-","-","-","1","0","0","0","0","0","8","1","0","0"
"*04spq*","Jack Harrison","LEE","M,F","42","MOV","WBA 1<br/>@LEE 3 F","47.74","-","-","-","-","1","0","1","0","0","0","6","0","0","0"
"*02lpz*","Phil Jagielka","SHU","D","419","FA","BUR 0<br/>@SHU 1 F","47.72","-","-","-","-","2","0","0","0","0","3","30","0","4","1"
"*02ygz*","Moussa Sissoko","TOT","M","301","FA","TOT 4<br/>@LEI 2 F","47.66","-","-","-","-","1","0","0","0","0","0","7","1","0","0"
"*02ooq*","Hal Robson-Kanu","WBA","F","398","FA","WBA 1<br/>@LEE 3 F","47.58","-","-","-","-","2","0","1","0","0","0","5","0","0","0"
"*04sat*","Emile Smith Rowe","ARS","M","259","FA","BHA 0<br/>@ARS 2 F","47.34","-","-","-","-","1","0","0","0","0","0","17","0","0","0"
"*0554r*","Caleb Watts","SOU","M","486","FA","SOU 0<br/>@WHU 3 F","46.95","-","-","-","-","1","0","0","0","1","0","1","0","0","0"
"*0554s*","Daniel N'Lundulu","SOU","F","453","FA","SOU 0<br/>@WHU 3 F","46.82","-","-","-","-","1","0","0","0","0","0","1","0","2","0"
"*04u6o*","Joe Bryan","FUL","D,M","352","FA","NEW 2<br/>@FUL 0 F","46.77","-","-","-","-","1","0","0","0","0","0","7","0","1","0"
