"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","Int","BR","CSD"
"*059j1*","Luis Longstaff","LIV","M","578","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04ug0*","Sean Longstaff","NEW","M","284","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*052cb*","Ian Maatsen","CHE","D","579","FA","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03dyp*","Riyad Mahrez","MCI","M,F","23","PNP","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03m3q*","Ainsley Maitland-Niles","ARS","D,M","239","FA","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03hvn*","Javier Manquillo","NEW","D,M","265","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04e1k*","Solly March","BHA","M,F","301","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*045yy*","Arthur Masuaku","WHU","D","296","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02m7z*","Juan Mata","MUN","M,F","355","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03aoj*","Nemanja Matic","MUN","M","188","RED","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*0435s*","Joel Matip","LIV","D","293","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*052ju*","Matty Longstaff","NEW","M","366","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03avz*","Sam McQueen","SOU","D","584","FA","SHU 1<br/>@SOU 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04gyl*","Benjamin Mendy","MCI","D","193","NIM","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*043by*","Nampalys Mendy","LEI","M","380","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04ylt*","Chris Mepham","BOU","D","305","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lv9*","James Milner","LIV","D,M","283","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*043c0*","Aaron Mooy","BHA","M,F","182","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03dy4*","Wes Morgan","LEI","D","352","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","1","0","0","0","0","0","0","0","0","0"
"*0329s*","Glenn Murray","BHA","F","381","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lq4*","Shkodran Mustafi","ARS","D","250","FA","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04toy*","Yoshinori Muto","NEW","F","434","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04ge8*","Reiss Nelson","ARS","M,F","369","FA","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*0554s*","Daniel N'Lundulu","SOU","F","591","FA","SHU 1<br/>@SOU 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04mmx*","Michael Obafemi","SOU","F","349","FA","SHU 1<br/>@SOU 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03rxb*","Angelo Ogbonna","WHU","D","139","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*059is*","Warren O'Hora","BHA","D","596","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*055c0*","Ben Osborn","SHU","M","360","FA","SHU 1<br/>@SOU 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03ull*","Nicolas Otamendi","MCI","D","145","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","1","0","0","0","0","0","0","0","0","0"
"*054p4*","Troy Parrott","TOT","F","462","FA","TOT 1<br/>@CRY 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03uln*","Pedro","CHE","M,F","319","FA","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*055sk*","Nicolas Pepe","ARS","M,F","160","BAR","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*052k2*","Taylor Perry","WOL","M","604","FA","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lnq*","Paul Pogba","MUN","M","222","BAR","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*0452r*","Domingos Quina","WAT","M","444","FA","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04yes*","Kayne Ramsay","SOU","D","607","FA","SHU 1<br/>@SOU 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*051k3*","Jacob Ramsey","AVL","M","608","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04ym2*","Taylor Richards","BHA","M,F","610","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*058vg*","Lewis Richardson","BUR","M","611","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04gyz*","Jairo Riedewald","CRY","D,M","338","FA","TOT 1<br/>@CRY 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03r8t*","Matt Ritchie","NEW","D,M","268","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*058vc*","Haydon Roberts","BHA","D","612","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
