"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*0558w*","William Saliba","ARS","D","75","ACB","NEW Sat 6:30PM","68.34","98%","0%","27","1","8","1","20","1","1,701","21","63","12"
"*0635j*","Chris Richards","CRY","D","76","NOAD","@LIV Sat 4:00PM","68.18","88%","0%","28","1","9","1","32","3","1,107","7","90","11"
"*05r8o*","Jean-Philippe Mateta","CRY","F","77","KLI","@LIV Sat 4:00PM","67.73","93%","+2%","26","10","7","28","5","2","182","32","59","0"
"*04mup*","Trevoh Chalobah","CHE","D","78","PMP","","67.25","63%","0%","31","3","5","5","23","6","2,029","25","70","9"
"*051k7*","Reece James","CHE","D,M","79","FA","","67.18","94%","-2%","27","2","27","6","32","4","1,132","30","30","6"
"*02lnx*","Danny Welbeck","BHA","F","81","ACB","","66.59","90%","0%","33","13","19","25","11","5","344","16","17","0"
"*06fup*","Jeremy Doku","MCI","M,F","82","PMP","","66.55","99%","0%","25","2","46","10","13","0","519","118","4","0"
"*056iy*","Pedro Neto","CHE","M,F","83","FA","","66.47","99%","0%","32","5","49","12","10","5","777","67","8","0"
"*06c6g*","Yankuba Minteh","BHA","M,F","84","OSW","","66.47","98%","0%","30","2","39","10","32","3","362","81","19","0"
"*05o4b*","Matty Cash","AVL","D","85","MOV","@FUL Sat 1:30PM","66.44","80%","0%","30","3","24","10","24","8","1,036","38","30","8"
"*03yqz*","Joe Rodon","LEE","D","86","PMP","","66.33","22%","-2%","31","2","5","5","18","1","1,177","18","81","6"
"*05w9i*","Marc Cucurella","CHE","D","87","PMP","","66.29","99%","0%","30","1","35","5","35","9","1,155","26","34","9"
"*05n07*","Pedro Porro","TOT","D,M","88","NOAD","@WOL Sat 4:00PM","66.28","99%","+3%","29","1","41","7","35","7","903","37","18","7"
"*05y9n*","Lewis Hall","NEW","D","89","PMP","@ARS Sat 6:30PM","66.24","87%","-4%","26","1","21","5","28","3","930","73","25","4"
"*05mzz*","Pascal Struijk","LEE","D","90","ACB","","66.14","62%","0%","31","0","12","5","23","4","1,493","23","104","7"
"*05l8q*","Cole Palmer","CHE","M,F","91","FA","","65.64","100%","0%","22","9","22","20","11","4","573","48","0","0"
"*06r5b*","Diego Gomez","BHA","M,F","92","FA","","65.57","68%","-1%","30","5","21","14","49","9","560","28","52","0"
"*04io4*","Richarlison","TOT","M,F","93","FA","@WOL Sat 4:00PM","65.42","76%","-1%","27","9","16","22","14","5","157","38","53","0"
"*06y9o*","Igor Jesus Maciel da Cruz","NOT","F","94","W_W","NOT 5<br/>@SUN 0 F","64.8","48%","+13%","33","5","13","15","14","1","266","44","78","0"
"*06mpp*","Mats Wieffer","BHA","D,M","95","FA","","64.72","74%","0%","24","2","20","6","40","8","701","31","41","8"
"*0700t*","Omar Alderete","SUN","D","96","NOAD","NOT 5<br/>@SUN 0 F","64.36","73%","0%","30","1","9","9","16","6","988","26","79","10"
"*06zxy*","Benjamin Sesko","MUN","F","97","LHO","BRF Mon 9:00PM","64.13","84%","0%","28","9","8","31","3","2","197","12","60","0"
"*04qfz*","Diogo Dalot","MUN","D,M","99","ACB","BRF Mon 9:00PM","63.8","88%","+3%","31","1","27","6","29","5","873","31","44","5"
"*0435m*","Granit Xhaka","SUN","M","100","W_W","NOT 5<br/>@SUN 0 F","63.74","80%","+2%","30","1","30","5","29","6","1,289","44","53","0"
"*0327r*","Michael Keane","EVE","D","101","BAR","@WHU Sat 4:00PM","63.6","71%","+5%","28","3","1","6","20","3","772","11","88","8"
"*06do9*","Milos Kerkez","LIV","D","102","FA","CRY Sat 4:00PM","63.5","86%","+1%","29","2","24","2","26","4","831","34","32","7"
"*05nt6*","Eberechi Eze","ARS","M,F","103","W_W","NEW Sat 6:30PM","63.39","97%","+1%","28","6","14","16","13","1","465","57","8","0"
"*063q8*","Mikkel Damsgaard","BRF","M","104","RED","@MUN Mon 9:00PM","63.24","88%","+1%","28","3","33","9","30","0","562","34","14","0"
"*04mdn*","Anthony Gordon","NEW","M,F","105","KLI","@ARS Sat 6:30PM","62.96","98%","-1%","26","6","26","20","13","6","423","73","8","0"
