"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*058vc*","Haydon Roberts","BHA","D","716","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*03brm*","Patrick Roberts","MCI","M","717","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05o8m*","James Rodriguez","EVE","M,F","718","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*052jx*","Dion Sanderson","WOL","D","721","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04tlz*","Philippe Sandler","MCI","D","722","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y58*","Charlie Savage","MUN","M","724","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*02m2u*","Gylfi Sigurdsson","EVE","M,F","727","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05n3t*","Dynel Simeu","CHE/SOU","D","728","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y5c*","Kamarai Simon-Swyer","WHU","F","729","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y9l*","Xavier Simons","CHE","M","730","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r92*","Thierry Small","EVE/SOU","D","733","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y9o*","Jude Soonsup-Bell","CHE","F","735","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ues*","Kamal Sowah","LEI","M","736","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05up7*","Robert Street","CRY","F","739","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05rip*","Thanawat Suengchitthawon","LEI","M","740","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*060fg*","Zak Swanson","ARS","D","741","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r3z*","Sil Swinkels","AVL","D","742","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05l2z*","Bobby Thomas","BUR","D","743","FA","NEW 2<br/>@BUR 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y5y*","Jonathan Tomkinson","NOR","D","744","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05vye*","Antef Tsoungui","BHA","D","745","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05x9j*","Ed Turns","BHA","D","746","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05yly*","Deniz Undav","BHA","F","748","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05nue*","Harvey Vale","CHE","M","749","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y9m*","Charlie Webster","CHE","M","751","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05rka*","Reece Welch","EVE","D","752","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ye4*","Jack Wells-Morrison","CRY","M","753","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uh1*","Charlie Whitaker","EVE","M","754","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*054p3*","Harvey White","TOT","M","755","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05wqy*","Joe White","NEW","M","756","FA","NEW 2<br/>@BUR 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*060gq*","Dylan Williams","CHE","D","758","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05oji*","Rhys Williams","LIV","D","759","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05wwd*","Joshua Wilson-Esbrand","MCI","D","760","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y4x*","Max Woltman","LIV","F","761","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05trf*","Jan Zamburek","BRF","M","762","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y59*","Zidane Iqbal","MUN","M","636","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
