"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*0436h*","Lys Mousset","SHU","F","441","FA","BUR 0<br/>@SHU 1 F","20.97","-","-","-","-","11","0","3","2","0","0","34","0","4","0"
"*04ymr*","Josh Benson","BUR","M","442","FA","BUR 0<br/>@SHU 1 F","20.81","-","-","-","-","6","0","0","0","1","0","61","3","2","0"
"*04s1e*","Andriy Yarmolenko","WHU","M,F","443","FA","SOU 0<br/>@WHU 3 F","20.8","-","-","-","-","15","0","5","2","4","3","113","1","5","0"
"*02lnf*","Joshua King","BOU/EVE","M,F","444","FA","EVE 0<br/>@MCI 5 F","20.58","-","-","-","-","11","0","0","1","1","0","32","1","5","0"
"*04mks*","Terence Kongolo","HUD/FUL","D","445","FA","NEW 2<br/>@FUL 0 F","20.56","-","-","-","-","1","0","0","0","2","0","36","2","3","0"
"*05opi*","Andi Zeqiri","BHA","F","446","FA","BHA 0<br/>@ARS 2 F","20.47","-","-","-","-","9","0","1","2","2","0","20","0","2","0"
"*04aml*","Kamil Grosicki","WBA","M","447","FA","WBA 1<br/>@LEE 3 F","20.27","-","-","-","-","3","0","3","0","1","0","30","2","0","0"
"*03wph*","Kyle Edwards","WBA","M,F","448","FA","WBA 1<br/>@LEE 3 F","20.24","-","-","-","-","5","0","1","1","2","0","31","1","0","0"
"*04spm*","Percy Tau","BHA","F","449","FA","BHA 0<br/>@ARS 2 F","20.1","-","-","-","-","3","0","3","0","1","0","24","0","0","0"
"*04qf0*","Lee Peltier","WBA","D","450","FA","WBA 1<br/>@LEE 3 F","20.07","-","-","-","-","4","0","1","0","4","1","37","1","3","0"
"*03vlo*","Michael Hector","FUL","D","451","FA","NEW 2<br/>@FUL 0 F","20.03","-","-","-","-","4","0","1","0","2","2","147","0","6","0"
"*05r98*","Morgan Sanson","AVL","M","452","FA","CHE 1<br/>@AVL 2 F","20","-","-","-","-","9","0","1","0","4","3","117","4","5","0"
"*0554s*","Daniel N'Lundulu","SOU","F","453","FA","SOU 0<br/>@WHU 3 F","19.72","-","-","-","-","13","0","1","0","0","0","21","0","5","0"
"*0554h*","Sidnei Tavares","LEI","M","454","FA","TOT 4<br/>@LEI 2 F","19.39","-","-","-","-","2","0","0","1","1","0","18","0","1","0"
"*05re5*","Carney Chukwuemeka","AVL","M","456","FA","CHE 1<br/>@AVL 2 F","19.05","-","-","-","-","2","0","0","0","2","0","6","0","1","0"
"*04mmx*","Michael Obafemi","SOU","F","457","FA","SOU 0<br/>@WHU 3 F","18.94","-","-","-","-","4","0","1","0","0","0","12","0","0","0"
"*052k4*","Theo Corbeanu","WOL","F","458","FA","MUN 2<br/>@WOL 1 F","18.9","-","-","-","-","1","0","1","0","1","0","2","1","0","0"
"*051wl*","Wesley","AVL","F","459","FA","CHE 1<br/>@AVL 2 F","18.86","-","-","-","-","3","0","0","1","0","0","4","0","0","0"
"*05nil*","Leif Davis","LEE","D","460","FA","WBA 1<br/>@LEE 3 F","18.79","-","-","-","-","2","0","0","0","0","0","17","1","0","0"
"*05oig*","Liam Delap","MCI","F","461","FA","EVE 0<br/>@MCI 5 F","18.77","-","-","-","-","1","0","0","0","0","0","5","0","1","0"
"*04ge8*","Reiss Nelson","ARS","M,F","462","FA","BHA 0<br/>@ARS 2 F","18.71","-","-","-","-","2","0","0","0","0","0","14","1","0","0"
"*04itp*","Jose Izquierdo","BHA","F","463","FA","BHA 0<br/>@ARS 2 F","18.65","-","-","-","-","1","0","0","1","0","0","6","0","0","0"
"*05r2t*","Niall Huggins","LEE","F","464","FA","WBA 1<br/>@LEE 3 F","18.5","-","-","-","-","1","0","0","0","0","0","15","0","0","0"
"*05oel*","Niels Nkounkou","EVE","D","465","FA","EVE 0<br/>@MCI 5 F","18.48","-","-","-","-","2","0","0","0","3","1","24","0","0","0"
"*05r94*","Iliman Ndiaye","SHU","M","466","FA","BUR 0<br/>@SHU 1 F","18.47","-","-","-","-","1","0","0","0","1","0","3","0","0","0"
"*04mdj*","Nathan Broadhead","EVE","M","467","FA","EVE 0<br/>@MCI 5 F","18.43","-","-","-","-","1","0","0","0","1","0","2","0","0","0"
"*04shz*","Tyrese Francois","FUL","M","468","FA","NEW 2<br/>@FUL 0 F","18.42","-","-","-","-","1","0","0","0","0","0","12","0","0","0"
"*05rdx*","Shola Shoretire","MUN","F","469","FA","MUN 2<br/>@WOL 1 F","18.42","-","-","-","-","2","0","0","0","0","0","5","0","1","0"
"*056iu*","Jean-Philippe Gbamin","EVE","M","470","FA","EVE 0<br/>@MCI 5 F","18.3","-","-","-","-","1","0","0","0","0","0","6","0","0","0"
"*04y93*","Thakgalo Leshabela","LEI","M","471","FA","TOT 4<br/>@LEI 2 F","18.3","-","-","-","-","1","0","0","0","0","0","6","0","0","0"
"*03dy4*","Wes Morgan","LEI","D","472","FA","TOT 4<br/>@LEI 2 F","18.26","-","-","-","-","3","0","0","0","0","0","5","0","0","0"
"*04yes*","Kayne Ramsay","SOU","D","473","FA","SOU 0<br/>@WHU 3 F","18.23","-","-","-","-","1","0","0","0","2","1","15","0","0","0"
"*05r6m*","Allan Tchaptchet","SOU","D","474","FA","SOU 0<br/>@WHU 3 F","18.22","-","-","-","-","1","0","0","0","0","0","0","0","1","0"
"*05n3v*","Konstantinos Tsimikas","LIV","D","475","FA","CRY 0<br/>@LIV 2 F","18.22","-","-","-","-","2","0","0","0","0","0","4","0","0","0"
